,,,,kp,3,,kd,1.5
,,,,ki,0.05,,,
,,,,p,i,d,pid,
-1.22,1.22,0.02,,-3.66,,,,
-5.66,5.66,0.02,,-16.98,,,,
-9.97,9.97,0.02,,-29.91,,,,
-12.03,12.03,0.02,,-36.09,,,,
-16.09,16.09,0.02,,-48.27,,,,
-19.72,19.72,0.02,,-59.16,,,,
-22.91,22.91,0.02,,-68.73,,,,
-25.47,25.47,0.02,,-76.41,,,,
-27.47,27.47,0.02,,-82.41,,,,
-29.09,29.09,0.02,,-87.27,,,,
-30.28,30.28,0.02,,-90.84,,,,
-30.97,30.97,0.02,,-92.91,,,,
-31.28,31.28,0.02,,-93.84,,,,
-31.22,31.22,0.02,,-93.66,,,,
-30.78,30.78,0.02,,-92.34,,,,
-29.72,29.72,0.02,,-89.16,,,,
-27.91,27.91,0.02,,-83.73,,,,
-25.59,25.59,0.02,,-76.77,,,,
-22.78,22.78,0.02,,-68.34,,,,
-19.47,19.47,0.02,,-58.41,,,,
-15.78,15.78,0.02,,-47.34,,,,
-12.03,12.03,0.02,,-36.09,,,,
-8.03,8.03,0.02,,-24.09,,,,
-3.97,3.97,0.02,,-11.91,,,,
-1.91,1.91,0.02,,-5.73,,,,
2.16,-2.16,0.02,,6.48,,,,
6.09,-6.09,0.02,,18.27,,,,
9.65,-9.65,0.02,,28.95,,,,
11.4,-11.4,0.02,,34.2,,,,
14.47,-14.47,0.02,,43.41,,,,
16.9,-16.9,0.02,,50.7,,,,
18.78,-18.78,0.02,,56.34,,,,
20.03,-20.03,0.02,,60.09,,,,
20.53,-20.53,0.02,,61.59,,,,
20.47,-20.47,0.02,,61.41,,,,
19.78,-19.78,0.02,,59.34,,,,
18.28,-18.28,0.02,,54.84,,,,
16.28,-16.28,0.02,,48.84,,,,
13.65,-13.65,0.02,,40.95,,,,
10.53,-10.53,0.02,,31.59,,,,
7.09,-7.09,0.02,,21.27,,,,
3.28,-3.28,0.02,,9.84,,,,
-0.72,0.72,0.02,,-2.16,,,,
-2.72,2.72,0.02,,-8.16,,,,
-6.78,6.78,0.02,,-20.34,,,,
-10.85,10.85,0.02,,-32.55,,,,
-14.6,14.6,0.02,,-43.8,,,,
-18.09,18.09,0.02,,-54.27,,,,
-21.09,21.09,0.02,,-63.27,,,,
-23.47,23.47,0.02,,-70.41,,,,
